name,surname,PLZ,place,major,age,hobby,height,country,phone number
Sarah,Miller,14482,Potsdam,Jakobs,45,Singing,1.89,Germany,2345-453489
Peter,Smith,60329,Frankfurt,Feldmann,78,Dancing,1.60,Germany,7349-18240
Jasmine,Cone,01069,Dresden,Orosz,65,Eating,1.47,Germany,304-12643
Mike,Cone,14482,Potsdam,Jakobs,18,Fishing,1.90,Germany,039-12132
Thomas,Moore,60329,Frankfurt,Feldmann,65,Eating,1.80,Germany,392-34534
Thomas,Miller,14482,Potsdam,Jakobs,18,Fishing,1.87,Germany,847-24934
Gundula,Gaus,12345,Gelsenkirchen,Piet,18,Fishing,1.60,Germany,89429-3223
Luca,Schulz,35037,Marburg,Spies,28,Skating,1.50,Germany,283-247923
Anne,Marschner,35037,Marburg,Spies,50,Baking,1.45,Germany,294-8934
Nils,Schulz,31840,Fischbeck,Hellmuth,45,Singing,1.69,Germany,234-3490545
Noah,Marschner,07749,Jena,Schiller,33,Lauging,1.67,Italy,239-3456124
Sybille,Marschner,61440,Oberursel,Junge,45,Singing,1.87,Germany,024-35244
Gundula,Moss,73992,Prag,Bauer,43,Cooking,1.40,Italy,893-3562
